,Latitude,Longitude,Dec 25
51,33.4,-84.92,0.0
53,34.24,-85.16,0.0
54,32.97,-82.8,0.0
55,31.4,-81.28,0.0
56,34.66,-83.73,0.0
57,32.13,-81.2,0.0
58,34.76,-84.11,0.0
59,34.45,-85.39,0.0
60,32.77,-81.55,0.0
61,32.69,-84.52,0.0
62,32.87,-84.27,0.0
63,30.82,-83.9,0.0
64,33.45,-82.48,0.0
65,31.45,-83.48,0.0
66,34.58,-83.33,0.0
68,32.61,-83.62,0.0
69,32.89,-85.18,0.0
1,42.83,-96.55,0.0
2,43.07,-94.22,0.0
4,40.7,-93.37,0.0
11,42.08,-91.3,0.0
12,41.74,-93.59,0.0
15,40.75,-91.28,0.0
17,42.37,-95.57,0.0
18,40.81,-94.05,0.0
19,41.88,-92.28,0.0
20,42.26,-90.42,0.0
24,41.74,-92.44,0.0
25,40.77,-91.12,0.0
27,42.06,-94.85,0.0
29,42.52,-92.46,0.0
34,42.05,-91.59,0.0
36,40.73,-92.89,0.0
37,42.2,-91.52,0.0
38,41.02,-93.28,0.0
39,43.06,-92.67,0.0
41,42.76,-95.54,0.0
42,40.72,-95.02,0.0
43,41.79,-90.26,0.0
45,41.28,-91.36,0.0
47,41.67,-91.6,0.0
48,40.99,-94.76,0.0
52,41.04,-94.46,0.0
56,41.61,-90.59,0.0
57,41.61,-90.58,0.0
58,41.81,-90.54,0.0
59,43.3,-91.8,0.0
67,41.53,-93.65,0.0
68,41.74,-93.72,0.0
69,40.65,-91.56,0.0
70,42.41,-90.73,0.0
71,42.54,-90.65,0.0
72,42.4,-90.71,0.0
75,42.78,-91.45,0.0
77,43.24,-92.44,0.0
78,43.4,-94.75,0.0
79,43.18,-95.38,0.0
81,41.02,-91.96,0.0
86,42.88,-91.83,0.0
88,42.58,-94.2,0.0
89,40.62,-91.33,0.0
92,42.36,-92.76,0.0
94,42.79,-91.1,0.0
95,42.76,-93.2,0.0
97,41.46,-93.39,0.0
98,41.08,-95.48,0.0
99,42.55,-95.61,0.0
100,42.28,-96.06,0.0
102,41.37,-93.65,0.0
104,41.61,-91.51,0.0
105,42.52,-93.25,0.0
106,41.8,-94.31,0.0
109,41.74,-93.72,0.0
110,40.4,-91.37,0.0
111,40.75,-91.96,0.0
113,41.32,-93.1,0.0
115,43.45,-95.32,0.0
120,42.78,-96.15,0.0
121,41.83,-96.05,0.0
123,41.86,-90.92,0.0
124,42.47,-91.45,0.0
125,42.16,-95.78,0.0
126,42.08,-90.66,0.0
127,41.8,-92.07,0.0
129,42.06,-92.92,0.0
131,43.16,-93.2,0.0
132,43.15,-93.33,0.0
135,42.24,-91.17,0.0
137,40.95,-91.56,0.0
138,41.05,-93.95,0.0
139,41.04,-93.98,0.0
140,41.41,-91.07,0.0
142,41.47,-91.05,0.0
143,42.94,-92.57,0.0
144,43.05,-92.31,0.0
146,41.52,-92.06,0.0
147,41.3,-95.38,0.0
148,42.68,-91.88,0.0
149,43.0,-96.05,0.0
150,43.28,-92.81,0.0
151,41.02,-93.75,0.0
153,41.1,-92.44,0.0
155,41.38,-92.92,0.0
158,43.14,-91.49,0.0
159,43.09,-95.63,0.0
160,40.87,-95.57,0.0
161,41.0,-95.24,0.0
162,42.81,-95.98,0.0
164,43.43,-96.17,0.0
166,43.2,-96.31,0.0
167,42.4,-94.63,0.0
168,42.42,-94.98,0.0
169,40.84,-91.62,0.0
170,43.18,-95.66,0.0
171,43.18,-95.85,0.0
173,40.77,-95.36,0.0
174,43.4,-95.75,0.0
175,41.34,-92.23,0.0
176,43.06,-96.15,0.0
177,42.4,-96.38,0.0
178,42.39,-96.38,0.0
179,42.89,-95.15,0.0
181,43.17,-95.15,0.0
183,43.42,-95.14,0.0
184,43.38,-92.92,0.0
185,42.63,-91.86,0.0
186,42.65,-95.19,0.0
187,42.69,-91.53,0.0
188,43.45,-94.31,0.0
189,41.85,-91.69,0.0
190,42.04,-92.58,0.0
192,41.39,-95.68,0.0
193,42.15,-92.01,0.0
194,41.28,-91.71,0.0
195,42.47,-92.34,0.0
196,42.55,-92.4,0.0
201,41.66,-92.0,0.0
202,41.6,-93.7,0.0
2,47.95,-116.68,9.0
3,47.25,-115.81,22.0
